cohort,skill_id,skill_name,author,taxonomy_labels
popular,affaan-m-everything-claude-code-skills-springboot-security-skill-md,springboot-security,affaan-m,coding_dev;devops_infra;security;integration_tools
popular,affaan-m-everything-claude-code-skills-springboot-tdd-skill-md,springboot-tdd,affaan-m,coding_dev;security;documentation_writing;workflow_automation;integration_tools
popular,affaan-m-everything-claude-code-skills-springboot-verification-skill-md,springboot-verification,affaan-m,coding_dev;devops_infra;security;documentation_writing;research_analysis;integration_tools
popular,affaan-m-everything-claude-code-skills-strategic-compact-skill-md,strategic-compact,affaan-m,coding_dev;documentation_writing;research_analysis;workflow_automation
popular,affaan-m-everything-claude-code-skills-tdd-workflow-skill-md,tdd-workflow,affaan-m,coding_dev;documentation_writing;workflow_automation;product_design;integration_tools
popular,agno-agi-agno-cookbook-05-agent-os-skills-sample-skills-system-info-skill-md,system-info,agno-agi,domain_specific
popular,airbytehq-airbyte-claude-skills-my-prs-skill-md,my-prs,airbytehq,data_ml_ai
popular,alpinejs-alpine-claude-skills-review-pr-skill-md,review-pr,alpinejs,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation
popular,alpinejs-alpine-claude-skills-summarize-activity-skill-md,summarize-activity,alpinejs,coding_dev;data_ml_ai;documentation_writing;workflow_automation;integration_tools
popular,amruthpillai-reactive-resume-skills-resume-builder-skill-md,resume-builder,amruthpillai,documentation_writing;research_analysis;workflow_automation
popular,angular-angular-gemini-skills-reference-compiler-cli-skill-md,reference-compiler-cli,angular,coding_dev;devops_infra;data_ml_ai;research_analysis
popular,angular-angular-gemini-skills-reference-core-skill-md,reference-core,angular,coding_dev;data_ml_ai;documentation_writing;integration_tools
popular,angular-angular-gemini-skills-reference-signal-forms-skill-md,reference-signal-forms,angular,coding_dev;data_ml_ai;documentation_writing;product_design;integration_tools
popular,anthropics-claude-code-plugins-claude-opus-4-5-migration-skills-claude-opus-4-5-migration-skill-md,claude-opus-4-5-migration,anthropics,coding_dev;data_ml_ai;research_analysis;workflow_automation;integration_tools
popular,anthropics-claude-code-plugins-frontend-design-skills-frontend-design-skill-md,frontend-design,anthropics,coding_dev
popular,anthropics-claude-code-plugins-hookify-skills-writing-rules-skill-md,rule-identifier,anthropics,coding_dev;devops_infra;security;documentation_writing;workflow_automation
popular,anthropics-claude-code-plugins-plugin-dev-skills-agent-development-skill-md,agent-identifier,anthropics,coding_dev;data_ml_ai;security;research_analysis;workflow_automation;product_design;integration_tools
popular,anthropics-claude-code-plugins-plugin-dev-skills-command-development-skill-md,command-development,anthropics,coding_dev;devops_infra;data_ml_ai;security;documentation_writing;research_analysis;workflow_automation;integration_tools
