cohort,skill_id,skill_name,has_data_assets,data_file_count,data_total_bytes,json_like_count,tabular_count,database_count,binary_data_count,support_data_count,largest_data_file_relpath,largest_data_file_bytes,data_file_exts,data_file_paths_sample,excluded_config_like_count
popular,davila7-claude-code-templates-cli-tool-components-skills-development-mermaid-diagram-specialist-skill-md,mermaid-diagram-specialist,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-moodle-external-api-development-skill-md,moodle-external-api-development,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-move-code-quality-skill-md,move-code-quality,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-mui-skill-md,mui,1,1,1816,1,0,0,0,0,skill-rules-fragment.json,1816,.json:1,skill-rules-fragment.json,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-neon-postgres-skill-md,neon-postgres,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-nestjs-expert-skill-md,nestjs-expert,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-netlify-deploy-skill-md,netlify-deploy,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-nextjs-best-practices-skill-md,nextjs-best-practices,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-nextjs-supabase-auth-skill-md,nextjs-supabase-auth,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-nodejs-best-practices-skill-md,nodejs-best-practices,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-nosql-expert-skill-md,nosql-expert,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-openapi-to-typescript-skill-md,openapi-to-typescript,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-performance-profiling-skill-md,performance-profiling,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-performance-skill-md,performance,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-plaid-fintech-skill-md,plaid-fintech,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-playwright-skill-md,playwright,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-plugin-forge-skill-md,plugin-forge,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-postgres-best-practices-skill-md,supabase-postgres-best-practices,0,0,0,0,0,0,0,0,,0,,,1
popular,davila7-claude-code-templates-cli-tool-components-skills-development-powershell-windows-skill-md,powershell-windows,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-prisma-expert-skill-md,prisma-expert,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-production-code-audit-skill-md,production-code-audit,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-python-patterns-skill-md,python-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-react-best-practices-skill-md,vercel-react-best-practices,0,0,0,0,0,0,0,0,,0,,,1
popular,davila7-claude-code-templates-cli-tool-components-skills-development-react-dev-skill-md,react-dev,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-react-patterns-skill-md,react-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-react-ui-patterns-skill-md,react-ui-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-react-useeffect-skill-md,react-useeffect,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-render-deploy-skill-md,render-deploy,1,6,7625,0,0,0,0,6,assets/python-django.yaml,2538,.yaml:6,assets/docker.yaml;assets/go-api.yaml;assets/nextjs-postgres.yaml;assets/node-express.yaml;assets/python-django.yaml;assets/static-site.yaml,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-salesforce-development-skill-md,salesforce-development,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-screenshot-feature-extractor-skill-md,screenshot-feature-extractor,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-security-compliance-skill-md,security-compliance,1,2,3494,0,2,0,0,0,examples/vulnerabilities.csv,2111,.csv:2,examples/risks.csv;examples/vulnerabilities.csv,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-architect-skill-md,senior-architect,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-backend-skill-md,senior-backend,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-computer-vision-skill-md,senior-computer-vision,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-data-engineer-skill-md,senior-data-engineer,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-data-scientist-skill-md,senior-data-scientist,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-devops-skill-md,senior-devops,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-frontend-skill-md,senior-frontend,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-fullstack-skill-md,senior-fullstack,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-ml-engineer-skill-md,senior-ml-engineer,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-prompt-engineer-skill-md,senior-prompt-engineer,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-qa-skill-md,senior-qa,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-secops-skill-md,senior-secops,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-senior-security-skill-md,senior-security,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-seo-skill-md,seo,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-server-management-skill-md,server-management,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-skill-creation-guide-skill-md,skill-creation-guide,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-skill-installer-skill-md,skill-installer,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-software-architecture-skill-md,software-architecture,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-stripe-integration-skill-md,stripe-integration,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-task-execution-engine-skill-md,task-execution-engine,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-tdd-workflow-skill-md,tdd-workflow,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-test-fixing-skill-md,test-fixing,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-testing-patterns-skill-md,testing-patterns,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-typescript-expert-skill-md,typescript-expert,1,1,3426,1,0,0,0,0,references/tsconfig-strict.json,3426,.json:1,references/tsconfig-strict.json,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-using-git-worktrees-skill-md,using-git-worktrees,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-using-superpowers-skill-md,using-superpowers,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-vercel-deploy-skill-md,vercel-deploy,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-vercel-deployment-skill-md,vercel-deployment,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-web-quality-audit-skill-md,web-quality-audit,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-web-to-markdown-skill-md,web-to-markdown,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-writing-skills-skill-md,writing-skills,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-development-zapier-workflows-skill-md,zapier-workflows,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-document-processing-doc-skill-md,doc,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-document-processing-documentation-templates-skill-md,documentation-templates,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-document-processing-json-canvas-skill-md,json-canvas,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-document-processing-obsidian-bases-skill-md,obsidian-bases,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-document-processing-obsidian-markdown-skill-md,obsidian-markdown,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-document-processing-pdf-processing-pro-skill-md,pdf-processing-pro,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-document-processing-pdf-processing-skill-md,pdf-processing,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-document-processing-spreadsheet-skill-md,spreadsheet,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-backend-to-frontend-handoff-docs-skill-md,backend-to-frontend-handoff-docs,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-capa-officer-skill-md,capa-officer,1,1,865,0,0,0,0,1,assets/example_asset.txt,865,.txt:1,assets/example_asset.txt,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-daily-meeting-update-skill-md,daily-meeting-update,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-data-privacy-compliance-skill-md,data-privacy-compliance,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-difficult-workplace-conversations-skill-md,difficult-workplace-conversations,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-discord-bot-architect-skill-md,discord-bot-architect,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-email-composer-skill-md,email-composer,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-excel-analysis-skill-md,excel-analysis,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-fda-consultant-specialist-skill-md,fda-consultant-specialist,1,1,865,0,0,0,0,1,assets/example_asset.txt,865,.txt:1,assets/example_asset.txt,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-feedback-mastery-skill-md,feedback-mastery,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-frontend-to-backend-requirements-skill-md,frontend-to-backend-requirements,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-gdpr-dsgvo-expert-skill-md,gdpr-dsgvo-expert,1,1,865,0,0,0,0,1,assets/example_asset.txt,865,.txt:1,assets/example_asset.txt,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-information-security-manager-iso27001-skill-md,information-security-manager-iso27001,1,1,865,0,0,0,0,1,assets/example_asset.txt,865,.txt:1,assets/example_asset.txt,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-internal-comms-community-skill-md,internal-comms,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-isms-audit-expert-skill-md,isms-audit-expert,1,1,865,0,0,0,0,1,assets/example_asset.txt,865,.txt:1,assets/example_asset.txt,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-mdr-745-specialist-skill-md,mdr-745-specialist,1,1,865,0,0,0,0,1,assets/example_asset.txt,865,.txt:1,assets/example_asset.txt,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-professional-communication-skill-md,professional-communication,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-qms-audit-expert-skill-md,qms-audit-expert,1,1,865,0,0,0,0,1,assets/example_asset.txt,865,.txt:1,assets/example_asset.txt,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-quality-documentation-manager-skill-md,quality-documentation-manager,1,1,865,0,0,0,0,1,assets/example_asset.txt,865,.txt:1,assets/example_asset.txt,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-quality-manager-qmr-skill-md,quality-manager-qmr,1,1,865,0,0,0,0,1,assets/example_asset.txt,865,.txt:1,assets/example_asset.txt,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-quality-manager-qms-iso13485-skill-md,quality-manager-qms-iso13485,1,1,865,0,0,0,0,1,assets/example_asset.txt,865,.txt:1,assets/example_asset.txt,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-regulatory-affairs-head-skill-md,regulatory-affairs-head,1,1,865,0,0,0,0,1,assets/example_asset.txt,865,.txt:1,assets/example_asset.txt,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-risk-management-specialist-skill-md,risk-management-specialist,1,1,865,0,0,0,0,1,assets/example_asset.txt,865,.txt:1,assets/example_asset.txt,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-session-handoff-skill-md,session-handoff,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-slack-bot-builder-skill-md,slack-bot-builder,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-telegram-bot-builder-skill-md,telegram-bot-builder,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-telegram-mini-app-skill-md,telegram-mini-app,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-twilio-communications-skill-md,twilio-communications,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-writing-clearly-and-concisely-skill-md,writing-clearly-and-concisely,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-media-screenshot-skill-md,screenshot,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-media-speech-skill-md,speech,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-media-transcribe-skill-md,transcribe,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-media-video-downloader-skill-md,video-downloader,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-productivity-address-github-comments-skill-md,address-github-comments,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-productivity-commit-work-skill-md,commit-work,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-productivity-concise-planning-skill-md,concise-planning,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-productivity-crafting-effective-readmes-skill-md,crafting-effective-readmes,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-productivity-executing-plans-skill-md,executing-plans,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-productivity-file-organizer-skill-md,file-organizer,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-productivity-game-changing-features-skill-md,game-changing-features,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-productivity-humanizer-skill-md,humanizer,0,0,0,0,0,0,0,0,,0,,,0
popular,davila7-claude-code-templates-cli-tool-components-skills-productivity-kaizen-skill-md,kaizen,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-ai-summary-comment-skill-md,ai-summary-comment,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-find-reviewable-pr-skill-md,find-reviewable-pr,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-issue-triage-skill-md,issue-triage,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-learn-from-pr-skill-md,learn-from-pr,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-pr-build-status-skill-md,pr-build-status,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-pr-finalize-skill-md,pr-finalize,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-run-device-tests-skill-md,run-device-tests,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-run-helix-tests-skill-md,run-helix-tests,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-run-integration-tests-skill-md,run-integration-tests,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-try-fix-skill-md,try-fix,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-verify-tests-fail-without-fix-skill-md,verify-tests-fail-without-fix,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-write-ui-tests-skill-md,write-ui-tests,0,0,0,0,0,0,0,0,,0,,,0
popular,dotnet-maui-github-skills-write-xaml-tests-skill-md,write-xaml-tests,0,0,0,0,0,0,0,0,,0,,,0
popular,electron-electron-claude-skills-electron-chromium-upgrade-skill-md,electron-chromium-upgrade,0,0,0,0,0,0,0,0,,0,,,0
