cohort,skill_id,skill_name,has_skill_md,embedded_example_mentions,embedded_code_fence_count,example_dir_count,example_dir_paths,example_file_count,example_total_bytes,example_file_exts
popular,anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md,skill-development,1,58,26,0,,0,0,
popular,anthropics-claude-cookbooks-claude-skills-cookbook-audit-skill-md,cookbook-audit,1,13,0,0,,0,0,
popular,anthropics-claude-cookbooks-skills-custom-skills-analyzing-financial-statements-skill-md,analyzing-financial-statements,1,1,0,0,,0,0,
popular,anthropics-claude-cookbooks-skills-custom-skills-applying-brand-guidelines-skill-md,applying-brand-guidelines,1,0,0,0,,0,0,
popular,anthropics-claude-cookbooks-skills-custom-skills-creating-financial-models-skill-md,creating-financial-models,1,1,0,0,,0,0,
popular,anthropics-skills-skills-algorithmic-art-skill-md,algorithmic-art,1,3,5,0,,0,0,
popular,anthropics-skills-skills-brand-guidelines-skill-md,brand-guidelines,1,0,0,0,,0,0,
popular,anthropics-skills-skills-canvas-design-skill-md,canvas-design,1,2,0,0,,0,0,
popular,anthropics-skills-skills-doc-coauthoring-skill-md,doc-coauthoring,1,2,0,0,,0,0,
popular,anthropics-skills-skills-docx-skill-md,docx,1,1,34,0,,0,0,
popular,anthropics-skills-skills-frontend-design-skill-md,frontend-design,1,2,0,0,,0,0,
popular,anthropics-skills-skills-internal-comms-skill-md,internal-comms,1,5,0,1,examples,4,9537,.md:4
popular,anthropics-skills-skills-mcp-builder-skill-md,mcp-builder,1,7,1,0,,0,0,
popular,anthropics-skills-skills-pdf-skill-md,pdf,1,1,18,0,,0,0,
popular,anthropics-skills-skills-pptx-skill-md,pptx,1,0,6,0,,0,0,
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,1,11,15,0,,0,0,
popular,anthropics-skills-skills-slack-gif-creator-skill-md,slack-gif-creator,1,0,9,0,,0,0,
popular,anthropics-skills-skills-theme-factory-skill-md,theme-factory,1,0,0,0,,0,0,
popular,anthropics-skills-skills-web-artifacts-builder-skill-md,web-artifacts-builder,1,0,2,0,,0,0,
popular,anthropics-skills-skills-webapp-testing-skill-md,webapp-testing,1,3,5,1,examples,3,3443,.py:3
popular,anthropics-skills-skills-xlsx-skill-md,xlsx,1,3,9,0,,0,0,
popular,apache-shardingsphere-codex-skills-analyze-issue-skill-md,analyze-issue,1,3,2,0,,0,0,
popular,apache-shardingsphere-codex-skills-gen-ut-skill-md,gen-ut,1,3,18,0,,0,0,
popular,apache-shardingsphere-codex-skills-review-pr-skill-md,review-pr,1,0,0,0,,0,0,
popular,assafelovic-gpt-researcher-claude-skill-md,gpt-researcher,1,0,9,0,,0,0,
popular,berriai-litellm-tests-llm-translation-test-skills-data-slack-gif-creator-skill-md,slack-gif-creator,1,0,9,0,,0,0,
popular,browser-use-browser-use-skills-browser-use-skill-md,browser-use,1,5,36,0,,0,0,
popular,calcom-cal-com-agents-skills-calcom-api-skill-md,calcom-api,1,1,5,0,,0,0,
popular,calcom-cal-com-agents-skills-vercel-react-best-practices-skill-md,vercel-react-best-practices,1,3,1,0,,0,0,
popular,calcom-cal-com-agents-skills-web-design-guidelines-skill-md,web-design-guidelines,1,0,1,0,,0,0,
popular,calcom-cal-com-opencode-skill-vercel-react-best-practices-skill-md,vercel-react-best-practices,1,3,1,0,,0,0,
popular,ccxt-ccxt-claude-skills-ccxt-csharp-skill-md,ccxt-csharp,1,1,42,0,,0,0,
popular,ccxt-ccxt-claude-skills-ccxt-go-skill-md,ccxt-go,1,1,42,0,,0,0,
popular,ccxt-ccxt-claude-skills-ccxt-php-skill-md,ccxt-php,1,1,43,0,,0,0,
popular,ccxt-ccxt-claude-skills-ccxt-python-skill-md,ccxt-python,1,3,49,0,,0,0,
popular,ccxt-ccxt-claude-skills-ccxt-typescript-skill-md,ccxt-typescript,1,2,47,0,,0,0,
popular,chromedevtools-chrome-devtools-mcp-skills-chrome-devtools-skill-md,chrome-devtools,1,0,0,0,,0,0,
popular,clickhouse-clickhouse-claude-skills-build-skill-md,build,1,5,5,0,,0,0,
popular,clickhouse-clickhouse-claude-skills-fix-sync-skill-md,fix-sync,1,1,9,0,,0,0,
popular,clickhouse-clickhouse-claude-skills-test-skill-md,test,1,9,8,0,,0,0,
popular,cockroachdb-cockroach-claude-skills-backport-pr-assistant-skill-md,backport-pr-assistant,1,3,8,0,,0,0,
popular,cockroachdb-cockroach-claude-skills-commit-helper-skill-md,commit-helper,1,2,3,0,,0,0,
popular,cockroachdb-cockroach-claude-skills-reduce-unoptimized-query-oracle-skill-md,reduce-unoptimized-query-oracle,1,5,23,0,,0,0,
popular,cockroachdb-cockroach-pkg-ui-claude-skills-react-class-to-functional-skill-md,react-class-to-functional,1,0,3,0,,0,0,
popular,code-yeongyu-oh-my-opencode-src-features-builtin-skills-agent-browser-skill-md,agent-browser,1,10,28,0,,0,0,
popular,code-yeongyu-oh-my-opencode-src-features-builtin-skills-dev-browser-skill-md,dev-browser,1,2,10,0,,0,0,
popular,code-yeongyu-oh-my-opencode-src-features-builtin-skills-frontend-ui-ux-skill-md,frontend-ui-ux,1,0,0,0,,0,0,
popular,code-yeongyu-oh-my-opencode-src-features-builtin-skills-git-master-skill-md,git-master,1,8,50,0,,0,0,
popular,composiohq-awesome-claude-skills-artifacts-builder-skill-md,artifacts-builder,1,0,2,0,,0,0,
popular,composiohq-awesome-claude-skills-changelog-generator-skill-md,changelog-generator,1,1,6,0,,0,0,
popular,composiohq-awesome-claude-skills-competitive-ads-extractor-skill-md,competitive-ads-extractor,1,1,11,0,,0,0,
popular,composiohq-awesome-claude-skills-connect-apps-skill-md,connect-apps,1,1,3,0,,0,0,
popular,composiohq-awesome-claude-skills-connect-skill-md,connect,1,1,8,0,,0,0,
popular,composiohq-awesome-claude-skills-content-research-writer-skill-md,content-research-writer,1,19,18,0,,0,0,
popular,composiohq-awesome-claude-skills-developer-growth-analysis-skill-md,developer-growth-analysis,1,6,6,0,,0,0,
popular,composiohq-awesome-claude-skills-document-skills-docx-skill-md,docx,1,2,9,0,,0,0,
popular,composiohq-awesome-claude-skills-document-skills-pdf-skill-md,pdf,1,1,17,0,,0,0,
popular,composiohq-awesome-claude-skills-document-skills-pptx-skill-md,pptx,1,7,16,0,,0,0,
popular,composiohq-awesome-claude-skills-document-skills-xlsx-skill-md,xlsx,1,3,9,0,,0,0,
popular,composiohq-awesome-claude-skills-domain-name-brainstormer-skill-md,domain-name-brainstormer,1,2,9,0,,0,0,
popular,composiohq-awesome-claude-skills-file-organizer-skill-md,file-organizer,1,6,25,0,,0,0,
popular,composiohq-awesome-claude-skills-image-enhancer-skill-md,image-enhancer,1,1,7,0,,0,0,
popular,composiohq-awesome-claude-skills-invoice-organizer-skill-md,invoice-organizer,1,8,21,0,,0,0,
popular,composiohq-awesome-claude-skills-langsmith-fetch-skill-md,langsmith-fetch,1,3,27,0,,0,0,
